questions,answers
control of fungal wilt in chillies,recommended him to spray blitox 50 @ 1 gm/lit of water
asking about how to control coccidiosis in broiler birds,advice to administer coccinil plus @ 2 gram mixed in per lits of water and give it daily for 3-5 days
asking about the variety for bhindi,"suggested him to grow syngenta, mahico company etc"
fertilizer dose of arecanut,"recommended him to apply urea-200 gm, ssp-250 gm, mop-100 gm, borax-50 gm per plant"
asking about the control of fungal infection in papaya,told him to spray saaf @  2gm / l of water
asking about treatment of worms infestation in piglet.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight. along with that administer liv-52 vet @ 5 ml twice daily.
asking about pumpkin query,recommended that application of malathione 50ec@2ml/lit of water
asking about the control measure for brown blight in tea,"recommended to spray blitox 50,1.5 gram/lit water or roshan plus(hexaconazole),1.5 ml/lit water"
asking about the control of wilting in chillis,told him to spray cristocycline @ 1gm / 10 l of water
asking about the nutrient management in bhhindi,told him to spray tracel 2 @ 2gm / l of water
asking about the control measure for mosaic in spine gourd,"recommended to spray rogor 35 ec,2 ml/lit water"
query regarding maggoted wound of agoat,soke the area with tr iodine remove maggot manually spray topicure in the wound including the surrounding give an antibiotic course  analgesic & anti inflammatory antihistamine
asking about the nutreint management in bottle gourd,told him to spray planofix @ 1ml / 5 l of water
query regarding blindness of a she goat,leave the affected eye as such & apply norflox e/e drop twice daily
asking about the detail scheme for submitting project on aloe vera plant,recommended to visit kvk for detail scheme
query regarding herbicide,advised to apply round up @ 2.5-3ml/lit
asking about downey mildew,"recommended to spray bordeaux mixture 
100gm lime and 100gm copper sulphate in 5 litre water separately . then mix the mixture in another bucket simultaneously . then spray the final mixture for 6-8 times per day at 15 days interval"
control of insect in cucumber,recommended him to spray malathion 50 ec @ 2 ml/lit of water
asking about the availability of hampshire breed of pig and its procurement,"advised him to visit veterinery complex ,khanapatra for hampshire breed"
asking about nutrient management,recommended to spray planofix @ 1 g per 10 lit of water
query regarding  infection in  local bird,steclin bolus  topicure for topicl application  apply tr iodine prior to apply topicure
asking about the micro nutrient use in bitter gourd,suggested him to spray multiplex mahaphal @ 2ml/liter of water
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about the control measure for anthracknose in chilli,"recommended to spray blitox 50,1.5 gram/lit water or blue copper,1.5 gram/lit water"
asking about seed treatment of bitter gourd,suggested to apply indofil m-45 in the water used for seed soaking
asking about treatment of cough in goat.,suggested to administer caflon powder @ 10 gm thrice daily by mixing with gur for the treatment of cough in goat.
asking about the control measure of fruit rot in bhindi,suggested him to spray roshan plus @1.5 ml/water
asking about the fruit fly in bhindi,told him to spray malathion @ 2ml / l of water
asking about control measure of mosaic,recommended to spray malathion 50 ec @ 2 ml per lit of water
asking about the micro nutrient use in chillies,suggested him to spray multiplex mahaphal @ 2ml/liter of water
cultural practices of beekeeping,advised him to contact person- 9954219252 (arun mitra)
asking about the control of curling of leaf in chillis,told him to spray rogor @ 2ml / l of water
query regarding  piglet,imferon injection  to the piglet swine fever vaccine to the rest of the piglet
query regarding a sow,floraboost bolus 20-- 2 bolus orally daily  liver tonic & b complex
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water
asking about the control of wilting in chillis,told him to spray cristocycline @ 1gm / 10 l of water
query  regarding nasel discharge and dyspnoea of a cow,infuse fortious & anistamine   normal saline   as directed
asking about the nutrient management in papaya,told him to spray vipul @ 2ml / l of water
asking about the control of wilting in chillis,told him to spray cristocycline @ 1gm / 10 l of water
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about the nutrient management in papya,told him to spray planofix @ 1ml / 5 l of water
control of fungal wilt in betel vine,recommended him to spray blitox 50 @ 1 gm/ lit of water
psuedostem borer in banana.,advised to spray malathion 50 ec @ 2 ml/ liter water.
asking about cultural practices of bitter gourd,"recommended to farmer
seed rate- 600 g per bigha
variety- long green , extra long (recommended to collect the seed from good source)
seed treatment- treat the seed with captaf @ 2 g per 100 g seed
sowing time- june-july
spacing- 1.5 m x 60 cm
disease management-
1. powdery mildew can be controlled by spraying carbendazim 0.5 g/lit.
2. downy mildew can be controlled by spraying mancozeb @ 2 g/lit twice at 10 days interval.
pest management-
aphid, beetles, fruit flies and caterpillars can be control by spraying malathion 50 ec 1 ml/lit or dimethoate 30 ec 1ml /lit"
asking about the nutrient management in chillis,told him to spray planofix @1ml / 5 l of water
asking about the control measure for fruit fly in ridge gourd,recommended to spray malathion 50 ec(killer)@ 2 ml/lit water mix with molasses(gur)10 gram/lit water
anthracnose desease of chilly.,advised to spray captan @ 2 gram/ liter water.
asking for fertilizer dose for bearing litchi,"recommended him to apply urea 110 gram, ssp 250 gram, mop 125 gram, oil cake 2 kg, mone meal 2 kg and wood ash 4 kg per plant"
asking about the government scheme,suggested him to contact agericulture office
asking about mineral suppliment for piglet.,suggested to mix agrimin fort powder with concentrate feed as mineral suppliment for piglet.
control of weed in paddy field,recomended him to spray butachlor @ 3 ml/lit of water
asking about the way to check flower dropping in chilli,recommended to spray planofix(anaa) @ 1 ml/5 lit water or nagamruta(anaa) @ 1 ml/5 lit water
asking about government scheme,advised him to contact agriculture office
asking about the nutrient management in ivy gourd,told him to spray planofix @ 1ml / 5 l of water
asking about the nutreint management in tea,told him to spray tracel 2 @ 2gm / l of water
query regaring goat,inject  neohepatex  in requiired dose or liver tonic orally with feed
asking about the way to check flower dropping in chilly.,advised to spray planofix @ 1 ml/ 5 liter water.
asking about the control of fruit borer in chillies,suggested him to spray rogor @ 2ml/liter of water
asking about the cultivation practice of mushroom,"suggested him to contact with krishi vigyan kendra , dibrugarh assam"
asking about the nutrient management in chillis,told him to spray planofix @ 1ml/ 5 l of water
asking about the control measure of leaf curl in chilli,suggested him to spray rogor @2ml /lit of water
asking about treatment of fmd in cow.,suggested to inject dicrysticin injection once daily for 5 days. along with inject tribivet injection at every alternate day.
asking about treatment of fmd in cow.,suggested to inject dicrysticin injection once daily for 5 days. along with that inject tribivet injection at every alternate.
asking about fertilizer and lime does in fish pond,"recommended that urea@10kg/bigha/month,ssp@20kg/bigha/month,lime@10kg/bigha/month"
query regarding infection in broiler,tetracyclin powder 3-4 gm / lits of water
query regarding  variety of vegetable cultivated in this time,smooth guard ridge guard  okra ( bhindi ) etc
query regarding root rot of spine gourd,advised to apply contaf @ 2gm/lit
asking about the control measure for bacterial wilt in chilli,recommended to spray crystocyclin @ 1 gram/10 lit water
asking about the control measure for leaf curling in chilli,recommended to spray rogor 35 ec @ 2 ml/lit water
query regarding chilly thrips,advise to apply tafgor/metador @ 2ml/lit
asking about lime and fertilizer does in fish pond,"recommended that lime@10kg/bigha/month,urea@10kg/bigha/month,ssp@20kg/bigha/month"
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about the way to increase leaf size and production in betel vine,recommended to spray tracel @ 2 gram/lit water mix with urea 5 gram/lit water
asking about the fertilizer dose for sali paddy,"recommended to apply urea 12 kg/bigha.ssp 17 kg/bigha,mop 9 kg/bigha,zinc sulphate 1.5 kg/bigha and dried cowdung 3-4 cart load /bigha"
asking about the micro nutrient use in bhindi,suggested him to spray multiplex mahaphal @ 2ml/liter of water
asking about the procurement of black rice seed,advised to visit kvk for seed procurent
asking about fruit fly problem in spine gourd,suggested to spray malathion 50ec @ 2ml + 5gm of gur per litre of water
asking about the cultivation practices in arecanut and coconut,advised him in details cultivation practices
asking about the variety for bhindi,"suggested about the variety like- arka anamika, pravani kanti"
asking about the control of curing of leaf in chillis,told him to spray rogor @ 2ml / l of water
problem of earth worm in banana.,advised him to apply furadon @ 50 gm / plant
control of fruit fly in bottle gourd,spray malathion 50 ec @ 2 ml along with juggery @ 10 gm per liter of water
