questions,answers,clean_question,clean_answer
asking about variety of brinjal,recommended to used variety pusa purpal lomg or pusa kranti,What is variety of brinjal?,You should used variety pusa purpal lomg or pusa kranti
asking about the fertilizer doses in coconut,"told him to apply 750 gm urea , 1250 gm ssp ,900 gm mop / plant by ring method at the distance of 2m from the tree",What is the fertilizer doses in coconut?,"Told him to apply 750 gm urea , 1250 gm ssp ,900 gm mop / plant by ring method at the distance of 2m from the tree"
asking about the fertilizer dose for arecanut,"recommended to apply urea 250 gram/plant,ssp 350 gram/plant,mop 200 gram/plant,borax 30 gram/plant mix with dried cowdung in ring method",What is the fertilizer dose for arecanut?,"You should apply urea 250 gram/plant,ssp 350 gram/plant,mop 200 gram/plant,borax 30 gram/plant mix with dried cowdung in ring method"
"asking about the variety,planting method,and fertilizer dose for banana","recommended variety dwarf cavendish,planting and row distance 1.4 mt and 1.4 mt,trim the seedling roots and apply furadon 3g mud slurry on root zone.apply urea ,ssp mop after 3 months and 5 months of planting","What is the variety,planting method,and fertilizer dose for banana?","Recommended variety dwarf cavendish,planting and row distance 1.4 mt and 1.4 mt,trim the seedling roots and apply furadon 3g mud slurry on root zone.apply urea ,ssp mop after 3 months and 5 months of planting"
asking about the control of bacterial leaf spot in chillis,told him to spray saaf @ 2gm / l of water,What is the control of bacterial leaf spot in chillis?,Told him to spray saaf @ 2gm / l of water
asking about the control of potato moth,told him to spray malathion 50 ec @ 2ml / l of water,What is the control of potato moth?,Told him to spray malathion 50 ec @ 2ml / l of water
asking for control of flower dropping in chilli,recommended him to spray tracel-2 @ 2 gram per litre of water,Asking for control of flower dropping in chilli?,Recommended him to spray tracel-2 @ 2 gram per litre of water
query regarding mnanagement of case worm.,advise to spray chloropyriphos @ 2ml/lt of water and also spray tracel 2 @ 2g/lt of water.,What is mnanagement of case worm.?,You should spray chloropyriphos @ 2ml/lt of water and also spray tracel 2 @ 2g/lt of water.
asking about the species of the earthworm for preparation  of vermicompost,recommended him to name of the species is eisenia foetida,What is the species of the earthworm for preparation of vermicompost?,Recommended him to name of the species is eisenia foetida
problem of leaf curling disease in chilli.,advised him to apply rogor 35 ec @ 2 ml / litre of water.,Problem of leaf curling disease in chilli.?,Advised him to apply rogor 35 ec @ 2 ml / litre of water.
asking about weed management in chilli,recommended to removed the weeds by physical method such as hand weeding or also used weedicide when ever needed in the fellow land with the chemical such as butachlor or glyphosate,What is weed management in chilli?,You should removed the weeds by physical method such as hand weeding or also used weedicide when ever needed in the fellow land with the chemical such as butachlor or glyphosate
asking about the weed management,told him to spray butachlor @ 2ml / l of water,What is the weed management?,Told him to spray butachlor @ 2ml / l of water
weed management,advised him to apply atrazine @ 5 gm/lit of water,Weed management?,Advised him to apply atrazine @ 5 gm/lit of water
control of mossaic in pumpkin,recommended him to spray rogor @ 2 ml/lit of water,Control of mossaic in pumpkin?,Recommended him to spray rogor @ 2 ml/lit of water
control of bacterial wilt in chillies,recommended him to spray streptomycin @ 1 gm/ 10 lit of water,Control of bacterial wilt in chillies?,Recommended him to spray streptomycin @ 1 gm/ 10 lit of water
asking about aphid problem in pumpkin,suggested to spray rogor @ 2ml per litre of water,What is aphid problem in pumpkin?,Suggested to spray rogor @ 2ml per litre of water
query regarding broiler feeding,retracyclin 3-4 gm/ lits of water,What is broiler feeding?,Retracyclin 3-4 gm/ lits of water
asking about the control measure for ants in chilli,recommended to apply malathion dust on foliage,What is the control measure for ants in chilli?,You should apply malathion dust on foliage
query regarding  a pig,enrocin 15 ml anigest 30 gm  floraboost,What is a pig?,Enrocin 15 ml anigest 30 gm floraboost
call related to agriculture,ask yo inform later,Call related to agriculture?,Ask yo inform later
asking about micronutrient for chillies,suggested to spray tracel @ 2gm per litre of water,What is micronutrient for chillies?,Suggested to spray tracel @ 2gm per litre of water
asking about the control of leaf curling in chilli,suggest him to apply rogor 35 ec @ 2ml/litre of water.,What is the control of leaf curling in chilli?,Suggest him to apply rogor 35 ec @ 2ml/litre of water.
asking about the fertilizer dose of tea,suggested him to contact kvk,What is the fertilizer dose of tea?,You can contact kvk
asking about the field preparation of tea garden,not available,What is the field preparation of tea garden?,Not available
asking about the fertilizer doses in ridge gourd,"told him to apply 36 kg urea , 50 kg ssp ,13 kg mop / bigha",What is the fertilizer doses in ridge gourd?,"Told him to apply 36 kg urea , 50 kg ssp ,13 kg mop / bigha"
asking about the control of powdery mildew in chillis,told him to spray contaf @ 1ml / l of water,What is the control of powdery mildew in chillis?,Told him to spray contaf @ 1ml / l of water
query regarding pumpkin rot,advised to apply bevistin @ 2gm/lit and tricel20 @ 2ml/lit for paddy stem borer,What is pumpkin rot?,Advised to apply bevistin @ 2gm/lit and tricel20 @ 2ml/lit for paddy stem borer
asking about the control measure of fruit borer in squash,suggested him spray 10 gm molasses and malathion 2ml per lit of water,What is the control measure of fruit borer in squash?,Suggested him spray 10 gm molasses and malathion 2ml per lit of water
control of ants in coconut,recommended him to apply malathion 5% dust,Control of ants in coconut?,Recommended him to apply malathion 5 dust
asking about the veterinary queries,advised him to contact veterinary college,What is the veterinary queries?,Advised him to contact veterinary college
want to know about soil testing,adviced to contact kvk of dibrugarh district,Want to know about soil testing?,Adviced to contact kvk of dibrugarh district
asking about fertilizer dose in betel vine,recommended to apply urea-50 g ssp- 60 g and mop- 35 g and zinc- 20 g per plant,What is fertilizer dose in betel vine?,You should apply urea-50 g ssp- 60 g and mop- 35 g and zinc- 20 g per plant
asking about broiler farming.,explain in details about broiler farming.,What is broiler farming.?,Explain in details about broiler farming.
query regarding compost making,advised to apply 8-10kg/pit,What is compost making?,Advised to apply 8-10kg/pit
asking about the preparation of vermicompost,suggested him to apply rock phosphate 8 kg,What is the preparation of vermicompost?,You can apply rock phosphate 8 kg
asking about the control of fruit and shoot borer in brinjal,told him to spray malathion 50 ec @ 2ml / l of water,What is the control of fruit and shoot borer in brinjal?,Told him to spray malathion 50 ec @ 2ml / l of water
asking about the control of curling of leaf in chillis,told him to spray amistar @ 2ml / l of water,What is the control of curling of leaf in chillis?,Told him to spray amistar @ 2ml / l of water
query regarding lentil cultivation,cultivation time is feb - march,What is lentil cultivation?,Cultivation time is feb - march
asking about the nutrient management in pumpkin,told him to spray mahafol @ 2ml / l of water,What is the nutrient management in pumpkin?,Told him to spray mahafol @ 2ml / l of water
query regarding organic manure,advised to construct a permanent vermi tank for reuse,What is organic manure?,Advised to construct a permanent vermi tank for reuse
query regarding kvk contact detail,"dr. hiranya kumar bhattacharyya, kvk dibrugarh, aau, romai. p.o dibrugarh, district- dibrugarh, assam- 786010. ph no :9419015186",What is kvk contact detail?,"Dr. hiranya kumar bhattacharyya, kvk dibrugarh, aau, romai. p.o dibrugarh, district- dibrugarh, assam- 786010. ph no :9419015186"
wanted to know the name of improved seeds of tomato,"advised to use punjab suhara, pusa early, pusa ruby or punjab keshari.",Wanted to know the name of improved seeds of tomato?,"Advised to use punjab suhara, pusa early, pusa ruby or punjab keshari."
asking about the nutrient management in bitter gourd,told him to spray tracel 2 @ 2gm / l of water,What is the nutrient management in bitter gourd?,Told him to spray tracel 2 @ 2gm / l of water
asking about the control of fruit and shoot borer in bhindi,told him to spray malathion 50 ec @ 2ml / l of water,What is the control of fruit and shoot borer in bhindi?,Told him to spray malathion 50 ec @ 2ml / l of water
control  of insect in chillies,recommended him to spray tricel 20 ec @ 2 ml/lit of water,Control of insect in chillies?,Recommended him to spray tricel 20 ec @ 2 ml/lit of water
asking about the sowing time for carrot,recommended sowing time for carrot is begining of oct-nov,What is the sowing time for carrot?,Recommended sowing time for carrot is begining of oct-nov
query regarding management of wilt.,advise to spray saaf @ 2g/lt of water.,What is management of wilt.?,You should spray saaf @ 2g/lt of water.
asking for use of growth promoter,recommended him to mahafal @ 2 ml per litre of water,Asking for use of growth promoter?,Recommended him to mahafal @ 2 ml per litre of water
query regarding management of aphid.,advise to spray malathion 50 ec @ 2ml/lt of water.,What is management of aphid.?,You should spray malathion 50 ec @ 2ml/lt of water.
asking about diarrhoea in piglet.,suggested to adminiter neblon powder @ 5 gm twice daily for 5 days.,What is diarrhoea in piglet.?,Suggested to adminiter neblon powder @ 5 gm twice daily for 5 days.
asking about mango pulp weevil problem,suggested to spray malathion 50ec @ 2ml per litre of water,What is mango pulp weevil problem?,Suggested to spray malathion 50ec @ 2ml per litre of water
control of leaf curl in chilli,spray malathion 50 ec @ 2 ml along with 10 gm juggery per liter of water,Control of leaf curl in chilli?,Spray malathion 50 ec @ 2 ml along with 10 gm juggery per liter of water
asking about the control measure fruit borer in jack fruit,suggested him to spray malathion @2ml/lit of water,What is the control measure fruit borer in jack fruit?,You can spray malathion @2ml/lit of water
query regarding dermatitis of a calf,fenbendazole 150 mg orally  spray topicure over the body coat antibiotic & steroid either oral or i/ m route,What is dermatitis of a calf?,Fenbendazole 150 mg orally spray topicure over the body coat antibiotic  steroid either oral or i/ m route
